,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
255,Brock Wright,DET,TE,24,2,0,0,0,0,0,0,0,0,,0,1,1,25,25.00,0,0,0,0,,,3,3.5,3.5,3.0,,45,
256,Josiah Deguara,GNB,TE,25,2,0,0,0,0,0,0,0,0,,0,2,2,28,14.00,0,0,0,0,,,3,4.8,4.8,3.8,,43,
257,Jordan Love,GNB,QB,24,1,0,4,5,65,0,0,0,0,,0,0,0,0,,0,0,0,0,,,3,2.6,2.6,2.6,,35,
258,Skyy Moore,KAN,WR,22,2,0,0,0,0,0,0,0,0,,0,1,1,30,30.00,0,0,0,0,,,3,4.0,4.0,3.5,,104,
259,Alec Ingold,MIA,RB,26,2,2,0,0,0,0,0,2,3,1.50,0,4,3,23,7.67,0,0,0,0,,,3,5.6,5.6,4.1,,72,
260,Cedrick Wilson Jr.,MIA,WR,27,2,0,0,0,0,0,0,1,8,8.00,0,3,2,20,10.00,0,0,0,0,,,3,4.8,4.8,3.8,,106,
261,Jonnu Smith,NWE,TE,27,2,1,0,0,0,0,0,0,0,,0,7,3,33,11.00,0,0,0,0,,,3,6.3,6.3,4.8,,41,
262,Austin Hooper,TEN,TE,28,2,0,0,0,0,0,0,0,0,,0,6,2,25,12.50,0,0,0,0,,,3,4.5,4.5,3.5,,46,
263,Kyle Philips,TEN,WR,23,2,0,0,0,0,0,0,0,0,,0,10,7,71,10.14,0,2,2,0,,,3,10.1,12.1,6.6,,103,
264,Nick Westbrook-Ikhine,TEN,WR,25,2,2,0,0,0,0,0,0,0,,0,6,2,26,13.00,0,0,0,0,,,3,4.6,4.6,3.6,,107,
265,George Pickens,PIT,WR,21,2,1,0,0,0,0,0,0,0,,0,6,2,26,13.00,0,0,0,0,,,3,4.6,4.6,3.6,,108,
266,Foster Moreau,LVR,TE,25,2,1,0,0,0,0,0,0,0,,0,4,3,30,10.00,0,0,0,0,,,3,6.0,6.0,4.5,,42,
