,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
139,Alec Pierce,IND,WR,22,7,6,0,0,0,0,0,0,0,,0,38,24,373,15.54,1,1,0,1,,,43,67.3,70.3,55.3,,44,
140,Isaiah McKenzie,BUF,WR,27,6,5,0,0,0,0,0,3,8,2.67,1,27,18,170,9.44,3,0,0,4,,,42,59.8,62.8,50.8,,46,
141,Dak Prescott,DAL,QB,29,3,3,54,81,591,3,2,10,45,4.50,1,0,0,0,,0,0,0,1,,,42,42.1,47.1,44.1,,36,
142,Brandin Cooks,HOU,WR,29,7,7,0,0,0,0,0,0,0,,0,53,32,354,11.06,1,0,0,1,,,41,73.4,76.4,57.4,,47,
143,Evan Engram,JAX,TE,28,8,7,0,0,0,0,0,1,0,0.00,0,45,32,330,10.31,1,0,0,1,1,,41,73.0,76.0,57.0,,13,
144,Darrell Henderson,LAR,RB,25,7,4,0,0,0,0,0,50,197,3.94,2,20,16,91,5.69,0,0,0,2,,,41,56.8,59.8,48.8,,43,
145,Diontae Johnson,PIT,WR,26,8,8,0,0,0,0,0,5,22,4.40,0,76,43,372,8.65,0,1,0,0,1,,41,84.4,87.4,62.9,,48,
146,Olamide Zaccheaus,ATL,WR,25,8,5,0,0,0,0,0,1,-6,-6.00,0,23,20,312,15.60,2,1,1,2,,,41,60.6,64.6,50.6,,49,
147,Jahan Dotson,WAS,WR,22,4,3,0,0,0,0,0,1,-10,-10.00,0,22,12,152,12.67,4,0,0,4,1,,40,52.2,55.2,46.2,,50,
148,Kenyan Drake,BAL,RB,28,6,3,0,0,0,0,0,49,251,5.12,1,9,7,29,4.14,1,0,0,2,,,40,47.0,50.0,43.5,,44,
149,Chase Edmonds,MIA,RB,26,8,2,0,0,0,0,0,42,120,2.86,2,17,10,96,9.60,1,0,0,3,,,40,49.6,52.6,44.6,,45,
150,Donovan Peoples-Jones,CLE,WR,23,8,6,0,0,0,0,0,1,2,2.00,0,46,30,417,13.90,0,1,1,0,,,40,69.9,73.9,54.9,,51,
151,George Pickens,PIT,WR,21,8,4,0,0,0,0,0,1,1,1.00,0,43,26,338,13.00,1,0,0,1,,,40,65.9,68.9,52.9,,52,
152,Rashod Bateman,BAL,WR,23,6,5,0,0,0,0,0,0,0,,0,28,15,285,19.00,2,1,1,2,,,39,53.5,57.5,46.0,,54,
154,Will Dissly,SEA,TE,26,8,8,0,0,0,0,0,0,0,,0,22,21,206,9.81,3,0,0,3,,,39,59.6,62.6,49.1,,15,
155,Hayden Hurst,CIN,TE,29,8,8,0,0,0,0,0,0,0,,0,43,33,268,8.12,2,0,0,2,,,39,71.8,74.8,55.3,,14,
156,Zay Jones,JAX,WR,27,7,6,0,0,0,0,0,3,21,7.00,0,50,34,309,9.09,1,0,0,1,,,39,73.0,76.0,56.0,,53,
157,Latavius Murray,2TM,RB,32,4,0,0,0,0,0,0,48,193,4.02,3,7,5,18,3.60,0,0,0,3,,,39,44.1,47.1,41.6,,46,
158,Bailey Zappe,NWE,QB,23,4,2,65,92,781,5,3,10,0,0.00,0,1,1,-6,-6.00,0,4,3,0,,,39,39.6,48.6,42.1,,37,
159,Noah Brown,DAL,WR,26,7,7,0,0,0,0,0,0,0,,0,39,25,339,13.56,1,1,1,1,,,38,62.9,66.9,50.4,,56,
160,Alexander Mattison,MIN,RB,24,7,0,0,0,0,0,0,35,137,3.91,2,11,8,58,7.25,1,0,0,3,,,38,45.5,48.5,41.5,,47,
161,DeVante Parker,NWE,WR,29,8,7,0,0,0,0,0,0,0,,0,28,15,321,21.40,1,0,0,1,,,38,53.1,56.1,45.6,,55,
162,Kyle Pitts,ATL,TE,22,7,7,0,0,0,0,0,0,0,,0,39,21,258,12.29,2,0,0,2,,,38,58.8,61.8,48.3,,16,
163,Chris Godwin,TAM,WR,26,6,5,0,0,0,0,0,2,4,2.00,0,55,35,368,10.51,0,0,0,0,,,37,72.2,75.2,54.7,,57,
164,Taylor Heinicke,WAS,QB,29,2,2,43,64,480,3,2,8,33,4.13,1,0,0,0,,0,0,0,1,,,37,36.5,41.5,38.5,,38,
165,Marquez Valdes-Scantling,KAN,WR,28,7,5,0,0,0,0,0,1,-3,-3.00,0,38,22,369,16.77,0,0,0,0,,,37,58.6,61.6,47.6,,58,
166,James Conner,ARI,RB,27,5,5,0,0,0,0,0,54,200,3.70,1,19,14,103,7.36,0,1,0,1,,,36,50.3,56.3,43.3,,48,
